experiment_id,noise_regime,track,seed,dataset,model,epochs,batch_size,lr,frobenius_error,condition_number,spectral_norm_inv,training_duration_sec,git_commit_sha,test_top1_acc,test_top5_acc,raw_test_ece,raw_ada_ece,raw_brier,temp_clean,ts_clean_test_ece,ts_clean_test_brier,temp_corrupted,ts_corrupted_test_ece,ts_corrupted_test_brier,val_calibration_delta,peak_val_acc,peak_epoch,final_val_acc,memorization_drop
PILOT-CIFAR10-PreActResNet18-CLEAN-CE-S1337,clean,CE,1337,cifar10,PreActResNet18,30,128,0.05,0.0,1.0,1.0,972.1764662265778,181e7ac1a42f35e742a7f2e879161bf6d949be7e,91.97,99.74000000000001,0.03935893283784385,0.03921668836474418,0.12580306680428816,1.5267746448516846,0.009416260011494183,0.11969945338982968,1.529522180557251,0.009140011808276215,0.11969006546051501,-0.00027624820321796827,92.2,28,92.08,0.12000000000000455
PILOT-CIFAR10-PreActResNet18-CLEAN-CE-S2024,clean,CE,2024,cifar10,PreActResNet18,30,128,0.05,0.0,1.0,1.0,977.2989375591278,181e7ac1a42f35e742a7f2e879161bf6d949be7e,91.74,99.75,0.04147640201747416,0.04112984014749527,0.12913712748132603,1.5159528255462646,0.012810382762551274,0.12211335359180148,1.531145691871643,0.011783752644062055,0.12202887847856982,-0.001026630118489219,92.58,29,92.42,0.1599999999999966
PILOT-CIFAR10-PreActResNet18-CLEAN-CE-S42,clean,CE,42,cifar10,PreActResNet18,30,128,0.05,0.0,1.0,1.0,973.7641394138336,181e7ac1a42f35e742a7f2e879161bf6d949be7e,91.77,99.74000000000001,0.04011199260950089,0.04011816878914833,0.1283768176543062,1.5133763551712036,0.01155960202813144,0.12214177763277617,1.518735408782959,0.010867751172184963,0.12211968005494675,-0.0006918508559464777,91.98,27,91.92,0.060000000000002274
PILOT-CIFAR10-PreActResNet18-CLEAN-FORWARDCORRECTION_ANCHORT-S1337,clean,ForwardCorrection_AnchorT,1337,cifar10,PreActResNet18,30,128,0.05,0.12801179628944212,1.1323228262601894,1.128944825347961,971.7526977062225,181e7ac1a42f35e742a7f2e879161bf6d949be7e,91.76,99.82000000000001,0.04049762971699235,0.04045128605365754,0.12688224709758125,1.5379490852355957,0.00891627749502658,0.1200594791277113,1.5390223264694214,0.00885715791881086,0.12005506863357877,-5.911957621572081e-05,91.98,29,91.94,0.04000000000000625
PILOT-CIFAR10-PreActResNet18-CLEAN-FORWARDCORRECTION_ANCHORT-S2024,clean,ForwardCorrection_AnchorT,2024,cifar10,PreActResNet18,30,128,0.05,0.2734621421705584,1.3427561694893178,1.3232724323948377,973.4643836021423,181e7ac1a42f35e742a7f2e879161bf6d949be7e,91.47,99.72,0.0439067267775536,0.04343744953274727,0.13139205494196907,1.5242118835449219,0.01178065131902696,0.12378794616609146,1.5312761068344116,0.011180571627616898,0.12374866009031543,-0.0006000796914100628,92.22,28,92.18,0.03999999999999204
PILOT-CIFAR10-PreActResNet18-CLEAN-FORWARDCORRECTION_ANCHORT-S42,clean,ForwardCorrection_AnchorT,42,cifar10,PreActResNet18,30,128,0.05,0.18419004623392213,1.2060141917168279,1.2021357306296214,969.135231256485,181e7ac1a42f35e742a7f2e879161bf6d949be7e,91.64,99.72,0.043973556339740795,0.043333078438043605,0.13190688195686717,1.5349419116973877,0.014678413957357427,0.12413005663552769,1.5434600114822388,0.014460898306965807,0.12407699263882507,-0.0002175156503916205,91.84,29,91.84,0.0
PILOT-CIFAR10-PreActResNet18-CLEAN-FORWARDCORRECTION_BADT-S1337,clean,ForwardCorrection_BadT,1337,cifar10,PreActResNet18,30,128,0.05,1.5,2.0,2.0000000000000013,975.8368186950684,181e7ac1a42f35e742a7f2e879161bf6d949be7e,90.59,99.68,0.054376989847421627,0.05437484891414641,0.1458168037164235,1.5606974363327026,0.021530361568927743,0.1355546829714079,1.566657304763794,0.02111447724699977,0.13549766151567363,-0.00041588432192797217,91.72,30,91.72,0.0
PILOT-CIFAR10-PreActResNet18-CLEAN-FORWARDCORRECTION_BADT-S2024,clean,ForwardCorrection_BadT,2024,cifar10,PreActResNet18,30,128,0.05,1.5,2.0,2.0000000000000013,975.9550445079803,181e7ac1a42f35e742a7f2e879161bf6d949be7e,91.16,99.76,0.04908860626667736,0.04858331788182258,0.1407778123450262,1.5534526109695435,0.018250918701291072,0.13185713618906988,1.5619343519210815,0.01837880055308346,0.13179087912008067,0.00012788185179238992,91.68,30,91.68,0.0
PILOT-CIFAR10-PreActResNet18-CLEAN-FORWARDCORRECTION_BADT-S42,clean,ForwardCorrection_BadT,42,cifar10,PreActResNet18,30,128,0.05,1.5,2.0,2.0000000000000013,979.1296539306641,181e7ac1a42f35e742a7f2e879161bf6d949be7e,91.0,99.68,0.05200556223541494,0.051725639206171035,0.14176700663700229,1.5714985132217407,0.018926724895834923,0.1323466099502449,1.5558429956436157,0.020161289021372777,0.1324749415047417,0.001234564125537855,90.86,30,90.86,0.0
PILOT-CIFAR10-PreActResNet18-CLEAN-FORWARDCORRECTION_CONFIDENTLEARNINGT-S1337,clean,ForwardCorrection_ConfidentLearningT,1337,cifar10,PreActResNet18,30,128,0.05,1.0017202942086398,2.34265436570994,2.3287365318618694,980.1591229438782,181e7ac1a42f35e742a7f2e879161bf6d949be7e,91.02,99.76,0.05062742934823033,0.05029509429335594,0.14104339295107815,1.576127529144287,0.01722330112457273,0.13131176200801517,1.5738872289657593,0.01737966284751894,0.13133023026283683,0.00015636172294621054,91.52,30,91.52,0.0
